numerodistrito,nomedistrito,linhas_metro_atual,linhas_metro_em_construcao,linhas_metro_em_projeto,linhas_metro_proposta,linhas_trem_suburbano_atual,linhas_trem_suburbano_em_construcao,linhas_trem_suburbano_em_projeto,linhas_trem_suburbano_proposta,estacoes_metro_atual,estacoes_metro_em_construcao,estacoes_metro_em_projeto,estacoes_metro_proposta,estacoes_trem_suburbano_atual,estacoes_trem_suburbano_em_construcao,estacoes_trem_suburbano_em_projeto,estacoes_trem_suburbano_proposta,linhas_onibus_que_passam,linhas_onibus_terminal_principal,linhas_onibus_terminal_secundario,pontos_onibus,cidade,distrito_norm,geometria_wkt
2,Alto de Pinheiros,0,0,2,2,1,0,1,0,0,0,5,3,2,0,1,0,37,0,0,127,São Paulo,alto_de_pinheiros,
3,Anhanguera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,17,5,0,185,São Paulo,anhanguera,
4,Aricanduva,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,70,0,0,157,São Paulo,aricanduva,
5,Artur Alvim,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,61,8,1,250,São Paulo,artur_alvim,
97,Arujá,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,São Paulo,aruja,
6,Barra Funda,1,0,2,1,2,0,0,0,1,0,2,5,2,0,0,0,87,23,6,123,São Paulo,barra_funda,
98,Barueri,0,0,0,1,1,0,1,2,0,0,0,6,4,0,3,3,0,0,0,0,São Paulo,barueri,
7,Bela Vista,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,76,0,0,48,São Paulo,bela_vista,
8,Belém,1,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,88,15,21,125,São Paulo,belem,
99,Biritiba-Mirim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,biritiba_mirim,
9,Bom Retiro,1,0,0,2,2,0,0,0,2,0,0,3,2,0,0,0,47,0,0,69,São Paulo,bom_retiro,
11,Brasilândia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,65,0,0,326,São Paulo,brasilandia,
10,Brás,1,0,0,2,3,0,0,0,1,0,0,2,2,0,0,0,71,0,0,72,São Paulo,bras,
12,Butantã,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,76,16,6,205,São Paulo,butanta,
13,Cachoeirinha,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,70,28,0,269,São Paulo,cachoeirinha,
100,Caieiras,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,São Paulo,caieiras,
101,Cajamar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,São Paulo,cajamar,
14,Cambuci,0,1,0,1,1,0,0,0,0,3,0,3,1,0,0,0,35,0,0,86,São Paulo,cambuci,
15,Campo Belo,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,81,0,0,115,São Paulo,campo_belo,
16,Campo Grande,0,0,1,1,1,0,1,0,0,0,2,5,1,0,1,0,94,0,0,205,São Paulo,campo_grande,
17,Campo Limpo,1,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,59,31,0,332,São Paulo,campo_limpo,
18,Cangaíba,0,0,1,0,2,0,0,0,0,0,5,0,2,0,0,0,39,0,0,276,São Paulo,cangaiba,
19,Capão Redondo,1,0,0,1,0,0,0,1,1,0,0,6,0,0,0,3,81,40,4,387,São Paulo,capao_redondo,
102,Carapicuíba,0,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,0,0,0,0,São Paulo,carapicuiba,
20,Carrão,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,59,23,0,150,São Paulo,carrao,
21,Casa Verde,0,0,2,1,0,0,0,0,0,0,6,2,0,0,0,0,47,3,4,214,São Paulo,casa_verde,
22,Cidade Ademar,0,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,66,0,0,315,São Paulo,cidade_ademar,
23,Cidade Dutra,0,0,0,1,1,0,1,1,0,0,0,5,3,0,1,2,68,0,0,334,São Paulo,cidade_dutra,
24,Cidade Líder,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,0,282,São Paulo,cidade_lider,
25,Cidade Tiradentes,0,1,1,1,0,0,0,1,0,4,2,2,0,0,0,5,46,10,13,390,São Paulo,cidade_tiradentes,
26,Consolação,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,65,São Paulo,consolacao,
103,Cotia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,São Paulo,cotia,
27,Cursino,1,1,0,0,0,0,1,0,1,3,0,0,0,0,2,0,37,0,0,232,São Paulo,cursino,
104,Diadema,0,1,2,0,0,0,1,0,0,5,4,0,0,0,2,0,23,0,0,18,São Paulo,diadema,
105,Embu das Artes,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,2,1,0,0,1,São Paulo,embu_das_artes,
106,Embu-Guaçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,São Paulo,embu_guacu,
28,Ermelino Matarazzo,0,0,2,0,1,0,0,0,0,0,4,0,2,0,0,0,49,0,0,208,São Paulo,ermelino_matarazzo,
107,Ferraz de Vasconcelos,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,6,5,0,0,3,São Paulo,ferraz_de_vasconcelos,
108,Francisco Morato,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,São Paulo,francisco_morato,
109,Franco da Rocha,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,São Paulo,franco_da_rocha,
29,Freguesia do Ó,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,82,0,0,288,São Paulo,freguesia_do_o,
30,Grajaú,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,72,33,8,604,São Paulo,grajau,
31,Guaianases,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,3,40,6,14,210,São Paulo,guaianases,
110,Guararema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,guararema,
111,Guarulhos,0,0,3,2,1,0,0,2,0,0,15,19,2,0,0,8,0,0,0,0,São Paulo,guarulhos,
32,Iguatemi,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,2,34,0,0,235,São Paulo,iguatemi,
33,Ipiranga,1,1,1,2,1,0,1,0,3,5,1,3,2,0,3,0,66,28,7,313,São Paulo,ipiranga,
34,Itaim Bibi,1,0,1,1,1,0,1,0,1,0,4,4,2,0,1,0,86,4,15,214,São Paulo,itaim_bibi,
35,Itaim Paulista,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,3,36,0,0,360,São Paulo,itaim_paulista,
112,Itapecerica da Serra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,22,São Paulo,itapecerica_da_serra,
113,Itapevi,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,São Paulo,itapevi,
114,Itaquaquecetuba,0,0,0,1,1,0,0,1,0,0,0,1,3,0,0,4,0,0,0,0,São Paulo,itaquaquecetuba,
36,Itaquera,1,0,1,1,1,0,0,0,1,0,3,5,2,0,0,0,127,70,22,504,São Paulo,itaquera,
37,Jabaquara,1,1,0,0,0,0,1,0,2,3,0,0,0,0,1,0,62,9,0,370,São Paulo,jabaquara,
39,Jaguara,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,87,São Paulo,jaguara,
40,Jaguaré,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,109,São Paulo,jaguare,
115,Jandira,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,São Paulo,jandira,
41,Jaraguá,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,3,52,0,0,440,São Paulo,jaragua,
43,Jardim Helena,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,16,0,0,163,São Paulo,jardim_helena,
44,Jardim Paulista,2,0,2,2,0,0,0,0,5,0,1,5,0,0,0,0,104,0,0,87,São Paulo,jardim_paulista,
45,Jardim São Luís,1,1,0,1,0,0,0,1,2,1,0,2,0,0,0,0,109,31,7,422,São Paulo,jardim_sao_luis,
42,Jardim Ângela,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,2,73,14,7,455,São Paulo,jardim_angela,
38,Jaçanã,0,0,1,2,0,0,0,1,0,0,1,2,0,0,0,1,38,0,1,190,São Paulo,jacana,
46,José Bonifácio,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,64,5,1,265,São Paulo,jose_bonifacio,
116,Juquitiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,juquitiba,
47,Lajeado,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,38,0,0,238,São Paulo,lajeado,
48,Lapa,0,0,4,2,2,0,0,0,0,0,2,7,4,0,0,0,109,29,8,277,São Paulo,lapa,
49,Liberdade,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,54,0,0,95,São Paulo,liberdade,
50,Limão,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,53,0,0,169,São Paulo,limao,
117,Mairiporã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,São Paulo,mairipora,
51,Mandaqui,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,49,0,0,201,São Paulo,mandaqui,
52,Marsilac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,53,São Paulo,marsilac,
118,Mauá,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,4,1,0,0,1,São Paulo,maua,
53,Moema,1,0,1,2,0,0,0,0,3,0,5,3,0,0,0,0,88,0,0,150,São Paulo,moema,
119,Mogi das Cruzes,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,São Paulo,mogi_das_cruzes,
54,Mooca,1,1,0,1,0,0,0,0,1,2,0,5,0,0,0,0,67,0,0,183,São Paulo,mooca,
55,Morumbi,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,49,0,0,114,São Paulo,morumbi,
120,Osasco,0,1,0,1,2,0,1,2,0,1,0,7,6,0,0,2,25,4,0,28,São Paulo,osasco,
56,Parelheiros,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,54,32,14,409,São Paulo,parelheiros,
57,Pari,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,36,0,0,49,São Paulo,pari,
58,Parque do Carmo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,199,São Paulo,parque_do_carmo,
59,Pedreira,0,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,41,0,0,223,São Paulo,pedreira,
60,Penha,0,0,1,2,0,0,0,0,0,0,1,5,0,0,0,0,92,19,3,330,São Paulo,penha,
61,Perdizes,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,65,0,0,137,São Paulo,perdizes,
62,Perus,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,1,219,São Paulo,perus,
63,Pinheiros,2,0,0,1,1,0,1,0,5,0,0,2,3,0,1,0,124,42,10,161,São Paulo,pinheiros,
121,Pirapora do Bom Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,pirapora_do_bom_jesus,
64,Pirituba,0,0,1,1,1,0,0,2,0,0,0,8,3,0,0,2,67,35,8,397,São Paulo,pirituba,
65,Ponte Rasa,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,67,0,0,209,São Paulo,ponte_rasa,
122,Poá,0,0,0,1,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,São Paulo,poa,
66,Raposo Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,228,São Paulo,raposo_tavares,
67,República,3,0,1,3,0,0,0,0,5,0,1,4,0,0,0,0,143,15,6,137,São Paulo,republica,
123,Ribeirão Pires,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,São Paulo,ribeirao_pires,
124,Rio Grande da Serra,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,São Paulo,rio_grande_da_serra,
68,Rio Pequeno,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,44,0,0,180,São Paulo,rio_pequeno,
69,Sacomã,0,1,1,1,0,0,0,0,0,2,4,4,0,0,0,0,37,0,0,370,São Paulo,sacoma,
125,Salesópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,salesopolis,
70,Santa Cecília,1,0,0,1,1,0,0,0,2,0,0,3,1,0,0,0,71,17,19,119,São Paulo,santa_cecilia,
126,Santa Isabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,santa_isabel,
71,Santana,1,0,2,2,0,0,0,0,4,0,6,5,0,0,0,0,102,38,9,305,São Paulo,santana,
127,Santana de Parnaíba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,São Paulo,santana_de_parnaiba,
72,Santo Amaro,1,0,1,1,1,0,1,0,5,0,7,3,5,0,3,0,163,57,2,314,São Paulo,santo_amaro,
128,Santo André,0,1,2,1,1,0,0,1,0,3,7,3,3,0,0,1,0,0,0,0,São Paulo,santo_andre,
78,Sapopemba,1,0,1,1,0,0,0,0,4,1,4,1,0,0,0,0,59,13,3,379,São Paulo,sapopemba,
79,Saúde,1,0,0,1,0,0,1,0,3,0,0,3,0,0,1,0,58,0,0,224,São Paulo,saude,
81,Socorro,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,74,0,0,100,São Paulo,socorro,
132,Suzano,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,São Paulo,suzano,
129,São Bernardo do Campo,0,1,2,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,São Paulo,sao_bernardo_do_campo,
130,São Caetano do Sul,0,0,2,1,1,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,São Paulo,sao_caetano_do_sul,
73,São Domingos,0,0,1,1,0,0,0,2,0,0,3,1,0,0,0,3,31,0,0,188,São Paulo,sao_domingos,
131,São Lourenço da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,sao_lourenco_da_serra,
74,São Lucas,1,1,1,0,0,0,0,0,4,2,2,0,0,0,0,0,55,0,0,257,São Paulo,sao_lucas,
75,São Mateus,1,1,0,1,0,0,0,0,2,2,0,4,0,0,0,0,83,22,13,340,São Paulo,sao_mateus,
76,São Miguel,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,79,0,0,172,São Paulo,sao_miguel,
77,São Rafael,0,1,0,1,0,0,0,1,0,3,0,4,0,0,0,2,21,0,0,207,São Paulo,sao_rafael,
80,Sé,2,1,0,2,0,0,0,0,5,1,0,1,0,0,0,0,148,69,8,139,São Paulo,se,
133,Taboão da Serra,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,24,0,0,12,São Paulo,taboao_da_serra,
82,Tatuapé,1,0,1,2,2,0,0,0,2,0,3,4,2,0,0,0,97,32,14,193,São Paulo,tatuape,
83,Tremembé,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,49,0,0,375,São Paulo,tremembe,
84,Tucuruvi,1,0,1,2,0,0,0,1,2,0,2,2,0,0,0,1,61,21,12,197,São Paulo,tucuruvi,
134,Vargem Grande Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,vargem_grande_paulista,
85,Vila Andrade,1,1,0,1,0,0,0,0,1,3,0,2,0,0,0,0,52,0,0,152,São Paulo,vila_andrade,
86,Vila Curuçá,0,0,0,1,1,0,0,0,0,0,0,9,1,0,0,0,61,11,0,286,São Paulo,vila_curuca,
87,Vila Formosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0,0,206,São Paulo,vila_formosa,
88,Vila Guilherme,0,0,1,3,0,0,0,0,0,0,3,6,0,0,0,0,46,0,0,165,São Paulo,vila_guilherme,
89,Vila Jacuí,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,66,0,0,187,São Paulo,vila_jacui,
90,Vila Leopoldina,0,0,1,1,2,0,1,0,0,0,2,2,2,0,0,0,53,0,0,86,São Paulo,vila_leopoldina,
91,Vila Maria,0,0,2,2,0,0,0,0,0,0,4,3,0,0,0,0,37,0,2,259,São Paulo,vila_maria,
92,Vila Mariana,3,0,0,2,0,0,1,0,10,0,0,3,0,0,1,0,110,21,6,245,São Paulo,vila_mariana,
93,Vila Matilde,1,0,1,1,0,0,0,0,4,0,2,1,0,0,0,0,44,2,4,266,São Paulo,vila_matilde,
94,Vila Medeiros,0,0,1,2,0,0,0,0,0,0,3,4,0,0,0,0,38,0,0,230,São Paulo,vila_medeiros,
95,Vila Prudente,2,1,1,0,0,0,0,0,2,4,5,0,0,0,0,0,53,11,20,254,São Paulo,vila_prudente,
96,Vila Sônia,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,59,8,3,193,São Paulo,vila_sonia,
1,Água Rasa,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,44,0,0,158,São Paulo,agua_rasa,
