linha_id,linha,sistema,subsistema,operador,fase,etapa,status,qtde_vias,qtde_estacoes,comprimento_km,origem_aba,cidade,latitude_start,longitude_start,latitude_end,longitude_end,latlon_start,latlon_end
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Leste,,em construção,,0,9.61088747037186,dados,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Oeste,,em construção,,0,1.713682030339416,dados,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,,,em construção,,0,17.4897552634192,dados,São Paulo,-23.6320938865447,-46.67087088002491,-23.72764123938637,-46.57486965345597,"-23.632094,-46.670871","-23.727641,-46.574870"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,,0,1.297639198602744,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Guarulhos,,em construção,,0,5.836351757102628,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,,0,7.963693461312777,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Sudoeste,,em construção,,0,3.368161645195275,dados,São Paulo,-23.5934176500119,-46.7347575600249,-23.5934176168925,-46.7347575233945,"-23.593418,-46.734758","-23.593418,-46.734758"
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,,0,21.25074524478969,dados,São Paulo,-23.46543358240953,-46.6998922907744,-23.5651713340836,-46.6335754719486,"-23.465434,-46.699892","-23.565171,-46.633575"
,,Sistema Suplementar,,,,,em construção,,0,31.1994631782694,dados,São Paulo,,,,,,
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Leste,,em construção,,0,9.61088747037186,metropolitano,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Oeste,,em construção,,0,1.713682030339416,metropolitano,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,,,em construção,,0,17.4897552634192,metropolitano,São Paulo,-23.6320938865447,-46.67087088002491,-23.72764123938637,-46.57486965345597,"-23.632094,-46.670871","-23.727641,-46.574870"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,,0,1.297639198602744,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Guarulhos,,em construção,,0,5.836351757102628,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,,0,7.963693461312777,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Sudoeste,,em construção,,0,3.368161645195275,metropolitano,São Paulo,-23.5934176500119,-46.7347575600249,-23.5934176168925,-46.7347575233945,"-23.593418,-46.734758","-23.593418,-46.734758"
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,,0,21.25074524478969,metropolitano,São Paulo,-23.46543358240953,-46.6998922907744,-23.5651713340836,-46.6335754719486,"-23.465434,-46.699892","-23.565171,-46.633575"
,,Sistema Suplementar,,,,,em construção,,0,31.1994631782694,suplementar,São Paulo,,,,,,
linha_03_vermelha,Linha 03 - Vermelha,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,,,em projeto,,0,2.182484940281596,dados,São Paulo,-23.52593650471631,-46.66748759600344,-23.5423052510812,-46.4710777200253,"-23.525937,-46.667488","-23.542305,-46.471078"
linha_05_lilas,Linha 05 - Lílas,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Norte,,em projeto,,0,3.70105091588101,dados,São Paulo,-23.6592992138602,-46.7680122000248,-23.6592992127729,-46.768012200026,"-23.659299,-46.768012","-23.659299,-46.768012"
linha_05_lilas,Linha 05 - Lílas,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Sul,,em projeto,,0,3.786575676797638,dados,São Paulo,-23.6592992138602,-46.7680122000248,-23.6592992127729,-46.768012200026,"-23.659299,-46.768012","-23.659299,-46.768012"
linha_16_violeta,Linha 16 - Violeta,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,36.29215738154665,dados,São Paulo,-23.565573715078,-46.6912536478883,-23.569929947596,-46.5453720218692,"-23.565574,-46.691254","-23.569930,-46.545372"
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,17.56643179206367,dados,São Paulo,-23.4624119314004,-46.5265080394322,-23.54970343917828,-46.63964906503708,"-23.462412,-46.526508","-23.549703,-46.639649"
linha_20_rosa,Linha 20 - Rosa,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,30.95730139829837,dados,São Paulo,-23.5155680563017,-46.6927472746589,-23.6517342716141,-46.5296023769078,"-23.515568,-46.692747","-23.651734,-46.529602"
linha_21_grafite_provisorio,Linha 21 - Grafite - Provisório,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,25.6307856157048,dados,São Paulo,-23.68600767440135,-46.6266464968601,-23.57073285372931,-46.46600950178376,"-23.686008,-46.626646","-23.570733,-46.466010"
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,28.60475881757223,dados,São Paulo,-23.6048096382789,-46.9213563437934,-23.5515143477204,-46.67752172478921,"-23.604810,-46.921356","-23.551514,-46.677522"
linha_09_esmeralda,Linha 09 - Esmeralda,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,Extensão para o Centro,,em projeto,,0,12.04471796407059,dados,São Paulo,-23.53283114562908,-46.74525473219645,-23.5338320552206,-46.74493340852591,"-23.532831,-46.745255","-23.533832,-46.744933"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,Extensão Leste,,em projeto,,0,11.24897004832186,dados,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,Extensão até Arujá,,em projeto,,0,10.21868921842949,dados,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,10.49195607594581,dados,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_14_onix,Linha 14 - Onix,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,47.56780210364922,dados,São Paulo,-23.4237911063091,-46.4083695258877,-23.7167911830872,-46.51470850046161,"-23.423791,-46.408370","-23.716791,-46.514709"
linha_24_quartzo,Linha 24 - Quartzo,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,23.86051143747312,dados,São Paulo,-23.4987285417909,-46.8496662143773,-23.6502147497753,-46.7586581766417,"-23.498729,-46.849666","-23.650215,-46.758658"
linha_25_topazio,Linha 25 - Topázio,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,37.17189286104924,dados,São Paulo,-23.64912424193853,-46.85281978824321,-23.69675437115277,-46.55183722897507,"-23.649124,-46.852820","-23.696754,-46.551837"
linha_26_amentista,Linha 26 - Amentista,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,44.6220848281499,dados,São Paulo,-23.51530219169394,-46.45588771437579,-23.56190803116666,-46.78317212783202,"-23.515302,-46.455888","-23.561908,-46.783172"
,,Sistemas Complementar,,,,,em projeto,,0,38.09638977555397,dados,São Paulo,,,,,,
linha_03_vermelha,Linha 03 - Vermelha,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,,,em projeto,,0,2.182484940281596,metropolitano,São Paulo,-23.52593650471631,-46.66748759600344,-23.5423052510812,-46.4710777200253,"-23.525937,-46.667488","-23.542305,-46.471078"
linha_05_lilas,Linha 05 - Lílas,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Norte,,em projeto,,0,3.70105091588101,metropolitano,São Paulo,-23.6592992138602,-46.7680122000248,-23.6592992127729,-46.768012200026,"-23.659299,-46.768012","-23.659299,-46.768012"
linha_05_lilas,Linha 05 - Lílas,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Sul,,em projeto,,0,3.786575676797638,metropolitano,São Paulo,-23.6592992138602,-46.7680122000248,-23.6592992127729,-46.768012200026,"-23.659299,-46.768012","-23.659299,-46.768012"
linha_16_violeta,Linha 16 - Violeta,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,36.29215738154665,metropolitano,São Paulo,-23.565573715078,-46.6912536478883,-23.569929947596,-46.5453720218692,"-23.565574,-46.691254","-23.569930,-46.545372"
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,17.56643179206367,metropolitano,São Paulo,-23.4624119314004,-46.5265080394322,-23.54970343917828,-46.63964906503708,"-23.462412,-46.526508","-23.549703,-46.639649"
linha_20_rosa,Linha 20 - Rosa,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,30.95730139829837,metropolitano,São Paulo,-23.5155680563017,-46.6927472746589,-23.6517342716141,-46.5296023769078,"-23.515568,-46.692747","-23.651734,-46.529602"
linha_21_grafite_provisorio,Linha 21 - Grafite - Provisório,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,25.6307856157048,metropolitano,São Paulo,-23.68600767440135,-46.6266464968601,-23.57073285372931,-46.46600950178376,"-23.686008,-46.626646","-23.570733,-46.466010"
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em projeto,,0,28.60475881757223,metropolitano,São Paulo,-23.6048096382789,-46.9213563437934,-23.5515143477204,-46.67752172478921,"-23.604810,-46.921356","-23.551514,-46.677522"
linha_09_esmeralda,Linha 09 - Esmeralda,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,Extensão para o Centro,,em projeto,,0,12.04471796407059,regional,São Paulo,-23.53283114562908,-46.74525473219645,-23.5338320552206,-46.74493340852591,"-23.532831,-46.745255","-23.533832,-46.744933"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,Extensão Leste,,em projeto,,0,11.24897004832186,regional,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,Extensão até Arujá,,em projeto,,0,10.21868921842949,regional,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,10.49195607594581,regional,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_14_onix,Linha 14 - Onix,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,47.56780210364922,regional,São Paulo,-23.4237911063091,-46.4083695258877,-23.7167911830872,-46.51470850046161,"-23.423791,-46.408370","-23.716791,-46.514709"
linha_24_quartzo,Linha 24 - Quartzo,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,23.86051143747312,regional,São Paulo,-23.4987285417909,-46.8496662143773,-23.6502147497753,-46.7586581766417,"-23.498729,-46.849666","-23.650215,-46.758658"
linha_25_topazio,Linha 25 - Topázio,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,37.17189286104924,regional,São Paulo,-23.64912424193853,-46.85281978824321,-23.69675437115277,-46.55183722897507,"-23.649124,-46.852820","-23.696754,-46.551837"
linha_26_amentista,Linha 26 - Amentista,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,em projeto,,0,44.6220848281499,regional,São Paulo,-23.51530219169394,-46.45588771437579,-23.56190803116666,-46.78317212783202,"-23.515302,-46.455888","-23.561908,-46.783172"
,,Sistemas Complementar,,,,,em projeto,,0,38.09638977555397,complementar,São Paulo,,,,,,
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Subsistema leve,Subsistema leve,,,existente,,0,14.58146957050284,dados,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_01_azul,Linha 01 - Azul,Sistema Metropolitano,Subsistema primário,Subsistema primário,,,existente,,0,20.29166600337808,dados,São Paulo,-23.4797298326162,-46.6029133200256,-23.6464831916139,-46.64099088002559,"-23.479730,-46.602913","-23.646483,-46.640991"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Subsistema primário,Subsistema primário,,,existente,,0,14.69863055956115,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_03_vermelha,Linha 03 - Vermelha,Sistema Metropolitano,Subsistema primário,Subsistema primário,,,existente,,0,22.08827600651316,dados,São Paulo,-23.52593650471631,-46.66748759600344,-23.5423052510812,-46.4710777200253,"-23.525937,-46.667488","-23.542305,-46.471078"
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Subsistema secundário,Subsistema secundário,,,existente,,0,12.78923293035924,dados,São Paulo,-23.5934176500119,-46.7347575600249,-23.5934176168925,-46.7347575233945,"-23.593418,-46.734758","-23.593418,-46.734758"
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Subsistema secundário,Subsistema secundário,,,existente,,0,19.89321001883167,dados,São Paulo,-23.6592992138602,-46.7680122000248,-23.6592992127729,-46.768012200026,"-23.659299,-46.768012","-23.659299,-46.768012"
linha_10_turquesa,Linha 10 - Turquesa,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,37.20688605571738,dados,São Paulo,-23.7437908139201,-46.39144805974981,-23.5352595415427,-46.6353616913743,"-23.743791,-46.391448","-23.535260,-46.635362"
linha_11_coral,Linha 11 - Coral,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,50.84837427881754,dados,São Paulo,-23.5350709022924,-46.6353139835198,-23.5149899945239,-46.1829390288217,"-23.535071,-46.635314","-23.514990,-46.182939"
linha_12_safira,Linha 12 - Safira,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,38.82676258231725,dados,São Paulo,-23.5256756134173,-46.33219006238599,-23.544577564057,-46.6166765951947,"-23.525676,-46.332190","-23.544578,-46.616677"
linha_13_jade,Linha 13 - Jade,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,14.86249614681165,dados,São Paulo,-23.5255563566371,-46.5534300642098,-23.68563955048917,-46.62699844470871,"-23.525556,-46.553430","-23.685640,-46.626998"
linha_7_rubi,Linha 7 - Rubi,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,60.49226278995221,dados,São Paulo,-23.19513017110861,-46.8722514932387,-23.4919399996582,-46.7225674300518,"-23.195130,-46.872251","-23.491940,-46.722567"
linha_8_diamante,Linha 8 - Diamante,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,41.63020532740599,dados,São Paulo,-23.530496125247,-46.9833590367015,-23.53274479655663,-46.64087895849055,"-23.530496,-46.983359","-23.532745,-46.640879"
linha_9_esmeralda,Linha 9 - Esmeralda,Sistema Regional,Subsistema Suburbano,Subsistema Suburbano,,,existente,,0,38.92607720407964,dados,São Paulo,-23.7542342999985,-46.70924227940431,-23.77059597809505,-46.71196339080287,"-23.754234,-46.709242","-23.770596,-46.711963"
,,Sistema Suplementar,Subsistema Suplementar SPTrans,Subsistema Suplementar SPTrans,,,existente,,0,22.3073919300802,dados,São Paulo,,,,,,
,,Sistemas Complementar,Subsistema complementar ARTESP,Subsistema complementar ARTESP,,,existente,,0,84.79690512659997,dados,São Paulo,,,,,,
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Subsistema leve,Subsistema leve,,,existente,,0,14.58146957050284,metropolitano,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_01_azul,Linha 01 - Azul,Sistema Metropolitano,Subsistema primário,Subsistema primário,,,existente,,0,20.29166600337808,metropolitano,São Paulo,-23.4797298326162,-46.6029133200256,-23.6464831916139,-46.64099088002559,"-23.479730,-46.602913","-23.646483,-46.640991"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Subsistema primário,Subsistema primário,,,existente,,0,14.69863055956115,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_03_vermelha,Linha 03 - Vermelha,Sistema Metropolitano,Subsistema primário,Subsistema primário,,,existente,,0,22.08827600651316,metropolitano,São Paulo,-23.52593650471631,-46.66748759600344,-23.5423052510812,-46.4710777200253,"-23.525937,-46.667488","-23.542305,-46.471078"
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Subsistema secundário,Subsistema secundário,,,existente,,0,12.78923293035924,metropolitano,São Paulo,-23.5934176500119,-46.7347575600249,-23.5934176168925,-46.7347575233945,"-23.593418,-46.734758","-23.593418,-46.734758"
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Subsistema secundário,Subsistema secundário,,,existente,,0,19.89321001883167,metropolitano,São Paulo,-23.6592992138602,-46.7680122000248,-23.6592992127729,-46.768012200026,"-23.659299,-46.768012","-23.659299,-46.768012"
