estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
cerro_cora,Cerro Corá,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Cerro Corá,,em construção,Não,-23.54077010325403,-46.70100314621774,dados,São Paulo,kml_45
orfanato,Orfanato,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.57840410829186,-46.57597868273462,dados,São Paulo,kml_6
agua_rasa,Água Rasa,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.57382057513514,-46.56661733612687,dados,São Paulo,kml_71
analia_franco,Anália Franco,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.56371217031051,-46.56008322386226,dados,São Paulo,kml_33
vila_formosa,Vila Formosa,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5623766,-46.5511663,dados,São Paulo,kml_33
guilherme_giorgi,Guilherme Giorgi,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5549363,-46.5454051,dados,São Paulo,kml_76
nova_manchester,Nova Manchester,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5474153,-46.54157530000001,dados,São Paulo,kml_76
aricanduva,Aricanduva,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5399587,-46.54089010000001,dados,São Paulo,kml_80
penha,Penha,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5334963,-46.5426159,dados,São Paulo,kml_80
penha_de_franca,Penha de França,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.5226603,-46.5463283,dados,São Paulo,kml_34
gabriela_mistral,Gabriela Mistral,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.51778852054716,-46.55101337370449,dados,São Paulo,kml_34
fernao_dias,Fernão Dias,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.51021874719306,-46.55718390023073,dados,São Paulo,kml_10
ponte_grande,Ponte Grande,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.49842365813057,-46.55100351896091,dados,São Paulo,
dutra,Dutra,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.48790543012961,-46.5464085218069,dados,São Paulo,
brasilandia,Brasilândia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.46995454197407,-46.69775970689802,dados,São Paulo,kml_61
vila_cardoso,Vila Cardoso,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4760566,-46.6988149,dados,São Paulo,kml_61
itaberaba,Itaberaba,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4852853576051,-46.69360619871413,dados,São Paulo,kml_61
joao_paulo_i,João Paulo I,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4934737,-46.69139049999999,dados,São Paulo,kml_61
freguesa_do_o,Freguesa do Ó,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5021321,-46.6939226,dados,São Paulo,kml_61
santa_marina,Santa Marina,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.51453267905976,-46.69138323494762,dados,São Paulo,kml_77
agua_branca,Água Branca,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.52196168887671,-46.68728221517806,dados,São Paulo,kml_77
pompeia,Pompeia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.52731965222186,-46.68331377781241,dados,São Paulo,kml_83
perdizes,Perdizes,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5320406,-46.6769364,dados,São Paulo,kml_83
cardoso_de_almeida,Cardoso de Almeida,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5389457,-46.668761,dados,São Paulo,kml_83
angelica,Angélica,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.54676308676027,-46.6611664805936,dados,São Paulo,kml_84
higienopolis,Higienópolis,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.55088411500879,-46.6541875879087,dados,São Paulo,kml_84
14_bis,14 Bis,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.55582423373882,-46.64946699594982,dados,São Paulo,kml_60
bela_vista,Bela Vista,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56165226858497,-46.64461401749856,dados,São Paulo,kml_60
sao_joaquim,São Joaquim,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56263868786163,-46.63910414858864,dados,São Paulo,kml_5
pires_da_mota,Pires da Mota,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56501324947519,-46.63180009194504,dados,São Paulo,kml_5
cambuci,Cambuci,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56409702627586,-46.62091559350338,dados,São Paulo,kml_9
sao_carlos,São Carlos ● ◆,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Sim,-23.56860352242343,-46.60473974292809,dados,São Paulo,kml_41
vila_monumento,Vila Monumento,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Não,-23.56735228215866,-46.61285217828991,dados,São Paulo,kml_9
chacara_do_joquei,Chacara do Joquei,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.60150535387402,-46.74380965147809,dados,São Paulo,kml_14
taboao,Taboão,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.6075354764747,-46.76058617820318,dados,São Paulo,
boa_esperanca,Boa Esperança,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59693503918332,-46.45655813298834,dados,São Paulo,kml_16
jacu_pessego,Jacú Pêssego,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5946668,-46.4447828,dados,São Paulo,kml_16
erico_semer,Érico Semer,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5942047,-46.4237328,dados,São Paulo,kml_16
jardim_pedra_branca,Jardim Pedra Branca,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5819846,-46.41526710000001,dados,São Paulo,kml_2
cidade_tiradentes,Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5829875,-46.40942519999999,dados,São Paulo,kml_2
hospital_cidade_tiradentes,Hospital Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59907465539806,-46.40211327503182,dados,São Paulo,kml_2
ipiranga,Ipiranga,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Oeste,,em construção,Não,-23.58275547295142,-46.59676505581938,dados,São Paulo,kml_41
aeroporto_de_congonhas,Aeroporto de Congonhas,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62646267481276,-46.66138731630784,dados,São Paulo,kml_85
morumbi,Morumbi,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62254366744638,-46.70266473563835,dados,São Paulo,kml_74
chucri_zaidan,Chucri Zaidan,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6139713906409,-46.69554188112313,dados,São Paulo,kml_57
vila_cordeiro,Vila Cordeiro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6157537,-46.6883471,dados,São Paulo,kml_57
campo_belo,Campo Belo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6191746,-46.6826179,dados,São Paulo,kml_57
vereador_jose_diniz,Vereador José Diniz,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6219073,-46.6791632,dados,São Paulo,kml_85
brooklin_paulista,Brooklin Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6291222,-46.67403479999999,dados,São Paulo,kml_85
jardim_aeroporto,Jardim Aeroporto,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.63440255303385,-46.66838878876294,dados,São Paulo,kml_85
panamby,Panamby,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62657152282608,-46.71459058866652,dados,São Paulo,kml_38
paraisopolis,Paraisópolis,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.61946887895894,-46.7231924988971,dados,São Paulo,kml_38
americo_mourano,Américo Mourano,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6124458,-46.7211264,dados,São Paulo,kml_38
cicero_pompeu_de_toledo,Cicero Pompeu de Toledo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.59666628810511,-46.72000378910371,dados,São Paulo,kml_24
caxingui,Caxingui,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.5865168,-46.7244221,dados,São Paulo,kml_27
vila_paulista,Vila Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.638274363088,-46.66221255635915,dados,São Paulo,kml_86
vila_babilonia,Vila Babilonia,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6436639,-46.65756880000001,dados,São Paulo,kml_86
cidade_leonor,Cidade Leonor,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6501280049329,-46.65186599286718,dados,São Paulo,kml_86
hospital_saboya,Hospital Saboya,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.65348383986883,-46.64478530271541,dados,São Paulo,kml_86
jabaquara,Jabaquara,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.64762845904022,-46.64082051392378,dados,São Paulo,kml_86
cerro_cora,Cerro Corá,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Cerro Corá,,em construção,Não,-23.54077010325403,-46.70100314621774,metropolitano,São Paulo,kml_45
orfanato,Orfanato,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.57840410829186,-46.57597868273462,metropolitano,São Paulo,kml_6
agua_rasa,Água Rasa,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.57382057513514,-46.56661733612687,metropolitano,São Paulo,kml_71
analia_franco,Anália Franco,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.56371217031051,-46.56008322386226,metropolitano,São Paulo,kml_33
vila_formosa,Vila Formosa,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5623766,-46.5511663,metropolitano,São Paulo,kml_33
guilherme_giorgi,Guilherme Giorgi,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5549363,-46.5454051,metropolitano,São Paulo,kml_76
nova_manchester,Nova Manchester,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5474153,-46.54157530000001,metropolitano,São Paulo,kml_76
aricanduva,Aricanduva,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5399587,-46.54089010000001,metropolitano,São Paulo,kml_80
penha,Penha,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5334963,-46.5426159,metropolitano,São Paulo,kml_80
penha_de_franca,Penha de França,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.5226603,-46.5463283,metropolitano,São Paulo,kml_34
gabriela_mistral,Gabriela Mistral,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.51778852054716,-46.55101337370449,metropolitano,São Paulo,kml_34
fernao_dias,Fernão Dias,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.51021874719306,-46.55718390023073,metropolitano,São Paulo,kml_10
ponte_grande,Ponte Grande,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.49842365813057,-46.55100351896091,metropolitano,São Paulo,
dutra,Dutra,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.48790543012961,-46.5464085218069,metropolitano,São Paulo,
brasilandia,Brasilândia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.46995454197407,-46.69775970689802,metropolitano,São Paulo,kml_61
vila_cardoso,Vila Cardoso,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4760566,-46.6988149,metropolitano,São Paulo,kml_61
itaberaba,Itaberaba,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4852853576051,-46.69360619871413,metropolitano,São Paulo,kml_61
joao_paulo_i,João Paulo I,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4934737,-46.69139049999999,metropolitano,São Paulo,kml_61
freguesa_do_o,Freguesa do Ó,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5021321,-46.6939226,metropolitano,São Paulo,kml_61
santa_marina,Santa Marina,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.51453267905976,-46.69138323494762,metropolitano,São Paulo,kml_77
agua_branca,Água Branca,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.52196168887671,-46.68728221517806,metropolitano,São Paulo,kml_77
pompeia,Pompeia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.52731965222186,-46.68331377781241,metropolitano,São Paulo,kml_83
perdizes,Perdizes,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5320406,-46.6769364,metropolitano,São Paulo,kml_83
cardoso_de_almeida,Cardoso de Almeida,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5389457,-46.668761,metropolitano,São Paulo,kml_83
angelica,Angélica,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.54676308676027,-46.6611664805936,metropolitano,São Paulo,kml_84
higienopolis,Higienópolis,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.55088411500879,-46.6541875879087,metropolitano,São Paulo,kml_84
14_bis,14 Bis,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.55582423373882,-46.64946699594982,metropolitano,São Paulo,kml_60
bela_vista,Bela Vista,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56165226858497,-46.64461401749856,metropolitano,São Paulo,kml_60
sao_joaquim,São Joaquim,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56263868786163,-46.63910414858864,metropolitano,São Paulo,kml_5
pires_da_mota,Pires da Mota,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56501324947519,-46.63180009194504,metropolitano,São Paulo,kml_5
cambuci,Cambuci,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56409702627586,-46.62091559350338,metropolitano,São Paulo,kml_9
sao_carlos,São Carlos ● ◆,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Sim,-23.56860352242343,-46.60473974292809,metropolitano,São Paulo,kml_41
vila_monumento,Vila Monumento,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Não,-23.56735228215866,-46.61285217828991,metropolitano,São Paulo,kml_9
chacara_do_joquei,Chacara do Joquei,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.60150535387402,-46.74380965147809,metropolitano,São Paulo,kml_14
taboao,Taboão,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.6075354764747,-46.76058617820318,metropolitano,São Paulo,
boa_esperanca,Boa Esperança,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59693503918332,-46.45655813298834,metropolitano,São Paulo,kml_16
jacu_pessego,Jacú Pêssego,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5946668,-46.4447828,metropolitano,São Paulo,kml_16
erico_semer,Érico Semer,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5942047,-46.4237328,metropolitano,São Paulo,kml_16
jardim_pedra_branca,Jardim Pedra Branca,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5819846,-46.41526710000001,metropolitano,São Paulo,kml_2
cidade_tiradentes,Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5829875,-46.40942519999999,metropolitano,São Paulo,kml_2
hospital_cidade_tiradentes,Hospital Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59907465539806,-46.40211327503182,metropolitano,São Paulo,kml_2
ipiranga,Ipiranga,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Oeste,,em construção,Não,-23.58275547295142,-46.59676505581938,metropolitano,São Paulo,kml_41
aeroporto_de_congonhas,Aeroporto de Congonhas,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62646267481276,-46.66138731630784,metropolitano,São Paulo,kml_85
morumbi,Morumbi,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62254366744638,-46.70266473563835,metropolitano,São Paulo,kml_74
chucri_zaidan,Chucri Zaidan,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6139713906409,-46.69554188112313,metropolitano,São Paulo,kml_57
vila_cordeiro,Vila Cordeiro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6157537,-46.6883471,metropolitano,São Paulo,kml_57
campo_belo,Campo Belo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6191746,-46.6826179,metropolitano,São Paulo,kml_57
vereador_jose_diniz,Vereador José Diniz,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6219073,-46.6791632,metropolitano,São Paulo,kml_85
brooklin_paulista,Brooklin Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6291222,-46.67403479999999,metropolitano,São Paulo,kml_85
jardim_aeroporto,Jardim Aeroporto,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.63440255303385,-46.66838878876294,metropolitano,São Paulo,kml_85
panamby,Panamby,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62657152282608,-46.71459058866652,metropolitano,São Paulo,kml_38
paraisopolis,Paraisópolis,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.61946887895894,-46.7231924988971,metropolitano,São Paulo,kml_38
americo_mourano,Américo Mourano,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6124458,-46.7211264,metropolitano,São Paulo,kml_38
cicero_pompeu_de_toledo,Cicero Pompeu de Toledo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.59666628810511,-46.72000378910371,metropolitano,São Paulo,kml_24
caxingui,Caxingui,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.5865168,-46.7244221,metropolitano,São Paulo,kml_27
vila_paulista,Vila Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.638274363088,-46.66221255635915,metropolitano,São Paulo,kml_86
vila_babilonia,Vila Babilonia,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6436639,-46.65756880000001,metropolitano,São Paulo,kml_86
